Province,Year,Region,Regional GDP,Secondary industry value added,Tertiary industry value added from Long,GDP per capita from Long,Industrial value added from Long,Total electricity generation,Population,Hydropower generation from Long,Raw coal production from Long,Non fossil electricity generation,SO2 emissions,Natural gas production from Long,Total apparent CO2 emissions (mt),Total energy consumption
吉林省,1993,东北地区,718.58,351.03,211.5,2826.0,308.1,244.94,2496.1,49.85,2424.0,49.85,29.0,2.05,,3793.8
辽宁省,1993,东北地区,2010.8,1036.3,717.2,5015.0,920.6,505.3,4042.0,27.4,5566.8,27.4,108.0,23.8,,8695.5
黑龙江,1993,东北地区,1078.5,613.1,271.2,2976.0,580.4,372.32,3640.0,5.53,7327.0,5.53,22.0,22.3,,5078.3
上海市,1993,东部地区,1525.01,895.61,592.53,11100.0,846.71,373.31,1349.0,,126.54,,44.0,,,3946.73
北京市,1993,东部地区,888.9,416.3,419.4,8030.0,336.5,141.1,1112.0,2.72,835.4,2.72,37.0,,,3264.6
天津市,1993,东部地区,541.19,308.4,197.39,5857.0,280.73,126.65,928.0,0.17,517.0,0.17,24.0,6.53,,2292.67
山东省,1993,东部地区,2770.37,1355.71,818.03,3212.0,1201.67,610.89,8642.0,0.4,6803.0,0.4,228.0,13.69,,
广东省,1993,东部地区,3489.22,1702.46,1228.06,5115.0,1386.83,572.77,6607.0,105.96,951.5,105.96,54.0,,,5815.22
江苏省,1993,东部地区,2998.16,1598.05,909.52,4321.0,1451.97,536.84,6967.27,0.55,2505.53,0.55,120.0,0.27,,6625.8
河北省,1993,东部地区,1620.8,777.9,541.2,2571.0,688.1,508.18,6334.09,8.71,6400.0,8.71,102.0,3.15,,7861.92
浙江省,1993,东部地区,1933.5,982.19,635.34,4476.0,876.26,308.52,4313.3,62.65,138.64,62.65,54.0,,,4044.22
海南省,1993,东部地区,260.4,66.08,117.5,3755.0,35.58,24.69,701.0,6.58,1.53,6.58,2.0,,,241.75
福建省,1993,东部地区,1119.94,454.15,419.54,3575.0,381.95,195.27,3150.0,89.76,1000.0,89.76,18.0,,,1848.0
安徽省,1993,中部地区,1073.5,442.5,345.0,1848.0,374.8,266.64,5897.0,11.07,3613.0,11.07,44.0,,,3396.68
山西省,1993,中部地区,680.41,335.03,248.11,2271.0,296.01,417.82,3012.0,6.97,31015.01,6.97,133.0,0.58,,5472.5
江西省,1993,中部地区,723.04,282.46,215.0,1835.0,233.76,153.13,3966.0405,42.62,2104.22,42.62,34.0,,,1946.1
河南省,1993,中部地区,1668.11,760.24,510.37,1874.0,678.4,440.65,8946.0,19.02,9279.0,19.02,52.0,11.67,,5862.0
湖北省,1993,中部地区,1325.83,535.83,443.61,2361.0,475.44,402.93,5653.48,255.4,1000.0,255.4,49.0,0.83,,4778.7
湖南省,1993,中部地区,1244.71,470.05,390.98,1997.0,399.58,272.71,6311.0,126.72,4213.17,126.72,53.0,,,
云南省,1993,西部地区,783.27,325.57,266.25,2030.0,284.65,172.07,3885.2,96.67,2402.0,96.67,32.0,1.12,,2089.8
内蒙古,1993,西部地区,537.81,203.46,184.39,2423.0,162.53,235.23,2232.4,1.13,5514.0,1.13,66.0,,,2676.11
四川省,1993,西部地区,1486.08,580.38,456.32,1854.0,501.36,470.87,11104.0,195.86,7934.5,195.86,178.0,72.87,,4999.8
宁夏,1993,西部地区,104.49,45.61,38.04,2148.0,37.34,87.49,495.0,10.45,1371.6,10.45,24.0,0.14,,715.8
广西,1993,西部地区,871.7,321.1,300.49,1982.0,273.03,174.5,4438.0,100.83,1200.0,100.83,66.0,,,1809.21
新疆,1993,西部地区,495.3,200.3,174.1,2964.0,155.9,95.86,1605.0,20.38,2400.0,20.38,31.0,8.43,,2497.0
甘肃省,1993,西部地区,372.24,159.96,124.85,1598.0,136.74,227.91,2345.23,102.07,1806.6,102.07,39.0,0.27,,2508.1
西藏,1993,西部地区,37.4,5.5,14.1,1624.0,2.7,3.95,232.0,3.8,0.71,3.8,,,,
贵州省,1993,西部地区,419.25,155.03,130.82,1239.0,135.4,146.56,3409.0,49.46,4529.0,49.46,74.0,1.12,,2545.5
重庆市,1993,西部地区,612.97,273.64,197.34,2172.0,242.29,118.41,2964.92,,2624.97,,,37.14,,1411.75
陕西省,1993,西部地区,681.47,297.49,235.74,1990.0,250.07,215.98,3443.0,38.39,3200.0,38.39,67.0,0.26,,2476.34
