Province,Year,Year imputed,Region imputed,Regional GDP imputed,Secondary industry value added imputed,Tertiary industry value added from Long imputed,Industrial value added from Long imputed,Total electricity generation imputed,Population imputed,Hydropower generation from Long imputed,Raw coal production from Long imputed,Non fossil electricity generation imputed,SO2 emissions imputed,Natural gas production from Long imputed,Total apparent CO2 emissions (mt) imputed
新疆,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
甘肃省,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
西藏,1996,False,False,False,False,False,False,False,False,False,False,False,True,True,True
贵州省,1996,False,False,False,False,False,False,False,False,False,False,False,False,False,True
重庆市,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
陕西省,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
青海省,1996,False,False,False,False,False,False,False,False,False,False,False,True,False,True
吉林省,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
辽宁省,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
黑龙江,1997,False,False,False,False,False,False,False,False,False,False,False,False,False,False
上海市,1997,False,False,False,False,False,False,False,False,True,True,True,True,True,False
北京市,1997,False,False,False,False,False,False,False,False,False,False,False,True,True,False
天津市,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
山东省,1997,False,False,False,False,False,False,False,False,False,False,False,False,False,False
广东省,1997,False,False,False,False,False,False,False,False,False,False,False,False,False,False
江苏省,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
河北省,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
浙江省,1997,False,False,False,False,False,False,False,False,False,False,False,True,True,False
海南省,1997,False,False,False,False,False,False,False,False,False,False,False,True,True,False
福建省,1997,False,False,False,False,False,False,False,False,False,False,False,True,True,False
安徽省,1997,False,False,False,False,False,False,False,False,False,False,False,True,True,False
山西省,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
江西省,1997,False,False,False,False,False,False,False,False,False,False,False,True,True,False
河南省,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
湖北省,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
湖南省,1997,False,False,False,False,False,False,False,False,False,False,False,True,True,False
云南省,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
内蒙古,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
四川省,1997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
